Модель;Чохли;Скло
A72;Ні;Ні
A52;Ні;Ні
A42 5G;Ні;Ні
A32 5G;Ні;Ні
A32 4G;Ні;Ні
A22 4G;Samsung Galaxy М32;Samsung Galaxy M32
A02;Ні;Samsung Galaxy A02s / M02s / M02 / A12 / M12
A02s;Ні;Samsung Galaxy A02 / M02s / M02 / A12 / M12
A90;Ні;Samsung Galaxy A80
A80;Ні;Samsung Galaxy A90
A71;Ні;Samsung Galaxy Note 10 Lite
A70;Ні;Ні
A60;Ні;Ні
A51;Ні;Samsung Galaxy M31s
A50s;Samsung Galaxy A50 (A505F) / A50s;Samsung Galaxy A20 / A30 / A50 / A50s / M30 / M30s / M31 / M21
A50;Samsung Galaxy A30 (A305F) / A30s/ A50s;Samsung Galaxy A20 / A30 / A50 / A50s / M30 / M30s / M31 / M21
A41;Ні;Ні
A40;Ні;Ні
A31;Ні;Ні
A30s;Samsung Galaxy A50 (A505F) / A50s;Samsung Galaxy A20 / A30 / A50 / A50s / M30 / M30s / M31 / M21
A21s;Samsung Galaxy A21;Ні
A22;Samsung Galaxy A21(A215);Ні
A21;Samsung Galaxy A21s;Ні
A20s;Ні;Ні
A20;Samsung Galaxy A30;Samsung Galaxy A30 / A30s / A50 / A50s / M30 / M30s / M31 / M21
A20e;Ні;Ні
A11;Ні;Samsung Galaxy M11
A10s;Ні;Samsung Galaxy A10/ M10
A10;Ні;Samsung Galaxy A10s / M10
A10e;Ні;Ні
A2 Core;Ні;Ні
A01;Ні;Ні
A9;Ні;Ні
A8+;Ні;Ні
A8;Ні;Ні
A7 2018;Ні;Ні
A7 2017;Ні;Ні
A7 2016;Ні;Ні
A7;Ні;Ні
A6+;Ні;Ні
A6;Ні;Ні
A5 2017;Ні;Ні
A5 2016;Ні;Ні
A5;Ні;Ні
A3 2017;Ні;Ні
A3 2016;Ні;Ні
A3;Ні;Ні
Mi Max 3;Ні;Ні
Mi Max 2;Ні;Ні
Mi Max;Ні;Ні
Mi Mix 4;Ні;Ні
Mi Mix 3;Ні;Ні
Mi Mix 2s;Ні;Ні
Mi Mix 2;Ні;Ні
Mi Mix;Ні;Ні
Mi Note 10 Lite;Ні;Mi Note 10 Pro, Mi Note 10, Mi CC9 Pro
Mi Note 10 Pro;Mi Note 10, Mi CC9 Pro, Mi Note 10 Lite;Mi Note 10, Mi CC9 Pro, Mi Note 10 Lite
Mi Note 10;Mi Note 10 Pro, Mi CC9 Pro, Mi Note 10 Lite;Mi Note 10 Pro, Mi CC9 Pro, Mi Note 10 Lite
Mi Note 3;Ні;Ні
Mi Note 2;Ні;Ні
Mi Note;Ні;Ні
Black Shark;Ні;Ні
Poco F4 GT;Ні;Ні
Poco F4;Ні;Ні
Poco F3;Redmi K40, Redmi K40, Pro, Redmi K40 Pro +;Redmi K40, Redmi K40, Pro, Redmi K40 Pro +
Poco F2 Pro;Redmi K30 Pro;Mi 10T Lite, Redmi Note 9 Pro 5G, Mi 10i, Redmi K30 Pro
Pocophone F1;Ні;Ні
Poco X5 Pro;Ні;Ні
Poco X5;Ні;Ні
Poco X4 GT;Ні;Ні
Poco X4 Pro 5G;Ні;Ні
Poco X3 GT;Ні;Redmi Note 10 Pro 5G
Poco X3 NFC;Poco X3;Poco X3, Mi 10T, Mi 10T Pro, Redmi K30
Poco X3;Poco X3 NFC;Poco X3 NFC, Mi 10T, Mi 10T Pro, Redmi K30
Poco X2;Ні;Ні
Poco M5s;Redmi Note 10 / Note 10s;Redmi Note 10 / Note 10s
Poco M5;Ні;Ні
Poco M4 Pro 5G;Redmi Note 11 (Chinese version);Redmi Note 11 (Chinese version)
Poco M4 Pro 4G;Ні;Redmi Note 11 5G
Poco M4 5G;Redmi 10 5G;Redmi 10 5G
Poco M3 Pro 4G / 5G;Redmi Note 10 5G;Redmi Note 10 5G
Poco M3;Ні;Redmi 9
13 Lite;Ні;Ні
13 Pro;Ні;Ні
13;Ні;Ні
12T Pro;12T;12T
12T;12T Pro;12T Pro
12 Pro;Ні;Ні
12 Lite;Ні;Ні
12X;12;12
12;12X;12X
Mi 11 Ultra;Ні;Ні
Mi 11T Pro;Mi 11T;Mi 11T
Mi 11T;Mi 11T Pro;Mi 11T Pro
Mi 11 Lite NE;Mi 11 Lite;Mi 11 Lite
Mi 11 Lite;Mi 11 Lite NE;Mi 11 Lite NE
Mi 11i;Ні;Ні
Mi 11;Ні;Ні
Mi 10 Ultra;Ні;Ні
Mi 10T Lite;Redmi Note 9 Pro 5G;Cовместим:Redmi Note 9 Pro 5G, Mi10i, K30 Pro, Poco F2 Pro
Mi 10T Pro;Mi 10T;Mi 10T, Poco X3, K30
Mi 10T;Mi 10T Pro;Mi 10T Pro,  Poco X3, K30
Mi 10 Lite;Ні;Ні
Mi 10i;Ні;Redmi Note 9 5G, Mi10T Lite, K30 Pro, Poco F2 Pro
Mi 10;Mi 10 Pro;Mi 10 Pro
Mi 10 Pro;Mi 10;Mi 10
Mi CC9 Pro;Mi Note 10, Mi Note 10 Pro;Mi Note 10, Mi Note 10 Pro
Mi CC9e;Mi A3;Совместим:Mi A3
Mi CC9;Mi 9 Lite;Mi 9 Lite, Mi 9
Mi A3;Mi CC9e;Mi CC9e
Mi A2;Mi 6x;Mi 6x
Mi A2 Lite;Redmi 6 pro;Redmi 6 pro
Mi Play;Ні;Ні
Mi A1;Mi 5x;Mi 5x
Mi 5X;Mi A1;Mi A1
Mi 9T Pro;Mi9T, Redmi K20, Redmi K20 Pro;Mi9T, Redmi K20, Redmi K20 Pro
Mi 9T;Mi9T Pro, Redmi K20, Redmi K20 Pro;Mi9T Pro, Redmi K20, Redmi K20 Pro
Mi 9 Pro;Ні;Ні
Mi 9 Lite;Mi CC9;Mi CC9, Mi9
Mi 9;Ні;Mi CC9, Mi 9 Lite
Mi 8 Explorer;Mi 8 pro, Частково: Mi 8 ;Mi 8, Mi 8 pro
Mi 8 SE;Ні;Ні
Mi 8;Ні;Mi 8 Explorer, Mi 8 pro
Mi 8 pro;Mi 8 Explorer, Частково: Mi 8 ;Mi 8 Explorer, Mi 8
Mi 8 Lite;Ні;Ні
Mi 6x;Mi A2;Mi A2
Mi 6;Ні;Ні
Mi 5c;Ні;Ні
Mi 5s plus;Ні;Ні
Mi 5s;Ні;Ні
Mi 5;Ні;Ні
Redmi Note 12 Pro Plus;Ні;Частично:  Note 12 Pro
Redmi Note 12 Pro;Ні;Частково: Poco X5 Pro / 12 Pro+
Redmi Note 12;Ні; Poco X5
Redmi Note 11 Pro + 5G;Redmi Note 11 Pro (China);Redmi Note 11 Pro (China)
Redmi Note 11 Pro (China);Redmi Note 11 Pro + 5G;Redmi Note 11 Pro + 5G
Redmi Note 11 Pro 5G;Redmi Note 11 Pro;Redmi Note 11 Pro
Redmi Note 11 Pro;Redmi Note 11 Pro 5G;Redmi Note 11 Pro 5G
Redmi Note 11 5G;Ні;Poco X4 Pro 5G
Redmi Note 11s;Redmi Note 11;Redmi Note 11s/ Redmi Note 10/ Redmi Note 10 5G
Redmi Note 11;Redmi Note 11s;Redmi Note 11s/ Redmi Note 10/ Redmi Note 10 5G
Redmi Note 10 Pro 5G;Частково: Poco X3 5G;Poco X3 5G
Redmi Note 10 Pro Max;Redmi Note 10 Pro;Redmi Note 10 Pro
Redmi Note 10 Pro;Redmi Note 10 Pro Max;Redmi Note 10 Pro Max
Redmi Note 10 5G;Poco M3 Pro;Poco M3 Pro
Redmi Note 10s;Redmi Note 10;Redmi Note 10/ Redmi Note 11/ Redmi Note 11s
Redmi Note 10;Redmi Note 10s;Redmi Note 10s/ Redmi Note 11/ Redmi Note 11s
Redmi Note 9T;Redmi Note 9 5G;Redmi Note 9 5G
Redmi Note 9 5G;Redmi Note 9T;Redmi Note 9T
Redmi Note 9 4G;Redmi 9 Power, Redmi 9T;Redmi 9 Power, Redmi 9T
Redmi Note 9 Pro Max;Redmi Note 9s/ Note 9 Pro;Redmi Note 9s/ Note 9 Pro
Redmi Note 9 Pro;Redmi Note 9s / Note 9 Pro Max;Redmi Note 9s/ Note 9 Pro Max
Redmi Note 9s;Redmi Note 9 Pro / Note 9 Pro Max;Redmi Note 9 Pro/ Note 9 Pro Max
Redmi Note 9;Redmi 10X;Redmi 10X
Redmi Note 8T;Ні;Ні
Redmi Note 8 Pro;Ні;Ні
Redmi Note 8;Ні;Ні
Redmi Note 7 Pro;Redmi Note 7;Redmi Note 7
Redmi Note 7;Redmi Note 7 Pro;Redmi Note 7 Pro
Redmi Note 6 pro;Ні;Ні
Redmi Note 5 pro;Redmi Note 5;Redmi Note 5
Redmi Note 5;Redmi Note 5 pro;Redmi Note 5 pro
Redmi Note 5A pro;Redmi Y1;Redmi Y1
Redmi Note 5A;Redmi Y1 Lite;Redmi Y1 Lite
Redmi Note 4X;Частково: Redmi Note 4;Частково: Redmi Note 4
Redmi Note 4;Частково: Redmi Note 4x;Частково: Redmi Note 4x
Redmi Note 3 pro;Redmi Note 3;Redmi Note 3
Redmi Note 3;Redmi Note 3 pro;Redmi Note 3 pro
Redmi Note 2 pro / prime;Redmi Note 2;Redmi Note 2
Redmi Note 2;Redmi Note 2 pro / prime;Redmi Note 2 pro / prime
Redmi Note;Ні;Ні
