Модель;Чохли;Скло
A72;Ні;Ні
A52;Ні;Ні
A42 5G;Ні;Ні
A32 5G;Ні;Ні
A32 4G;Ні;Ні
A22 4G;Samsung Galaxy М32;Samsung Galaxy M32
A02;Ні;Samsung Galaxy A02s / M02s / M02 / A12 / M12
A02s;Ні;Samsung Galaxy A02 / M02s / M02 / A12 / M12
A90;Ні;Samsung Galaxy A80
A80;Ні;Samsung Galaxy A90
A71;Ні;Samsung Galaxy Note 10 Lite
A70;Ні;Ні
A60;Ні;Ні
A51;Ні;Samsung Galaxy M31s
A50s;Samsung Galaxy A50 (A505F) / A50s;Samsung Galaxy A20 / A30 / A50 / A50s / M30 / M30s / M31 / M21
A50;Samsung Galaxy A30 (A305F) / A30s/ A50s;Samsung Galaxy A20 / A30 / A50 / A50s / M30 / M30s / M31 / M21
A41;Ні;Ні
A40;Ні;Ні
A31;Ні;Ні
A30s;Samsung Galaxy A50 (A505F) / A50s;Samsung Galaxy A20 / A30 / A50 / A50s / M30 / M30s / M31 / M21
A21s;Samsung Galaxy A21;Ні
A22;Samsung Galaxy A21(A215);Ні
A21;Samsung Galaxy A21s;Ні
A20s;Ні;Ні
A20;Samsung Galaxy A30;Samsung Galaxy A30 / A30s / A50 / A50s / M30 / M30s / M31 / M21
A20e;Ні;Ні
A11;Ні;Samsung Galaxy M11
A10s;Ні;Samsung Galaxy A10/ M10
A10;Ні;Samsung Galaxy A10s / M10
A10e;Ні;Ні
A2 Core;Ні;Ні
A01;Ні;Ні
A9;Ні;Ні
A8+;Ні;Ні
A8;Ні;Ні
A7 2018;Ні;Ні
A7 2017;Ні;Ні
A7 2016;Ні;Ні
A7;Ні;Ні
A6+;Ні;Ні
A6;Ні;Ні
A5 2017;Ні;Ні
A5 2016;Ні;Ні
A5;Ні;Ні
A3 2017;Ні;Ні
A3 2016;Ні;Ні
A3;Ні;Ні
